configuration,threshold,learning_sample_size,TP,FP,FN,delay_mean,delay_std,delay_median,labeled_delay_mean,labeled_delay_std,labeled_delay_median,power,significance
normal-uniform,0.27,10,1000,133,0,10.129,12.744,6.0,3.982,18.797,3.0,1.0,0.133
normal-uniform,0.27,20,1000,106,0,12.481,14.842,8.0,4.903,13.298,4.0,1.0,0.106
normal-uniform,0.27,50,923,140,77,17.796,17.168,11.0,6.685,7.927,5.0,0.923,0.14
normal-weibull,0.04,5,1000,421,0,24.943,14.32,21.25,38.89,37.667,26.0,1.0,0.421
normal-weibull,0.04,10,1000,327,0,31.571,15.651,28.0,41.04,30.444,30.0,1.0,0.327
normal-weibull,0.04,20,999,242,1,41.798,19.23,37.0,45.704,28.557,35.75,0.999,0.242
normal-weibull,0.04,50,893,229,107,64.308,25.347,59.0,58.92,28.322,52.0,0.893,0.229
normal-weibull,0.07,5,1000,448,0,23.882,14.112,20.5,38.9,38.351,26.0,1.0,0.448
normal-weibull,0.07,10,1000,351,0,30.45,15.495,27.0,39.936,30.794,29.0,1.0,0.351
normal-weibull,0.07,20,999,272,1,40.364,19.361,35.5,45.248,29.859,34.0,0.999,0.272
normal-weibull,0.07,50,889,256,111,61.987,26.353,56.25,57.072,29.552,49.0,0.889,0.256
normal-weibull,0.18,5,1000,513,0,22.138,13.471,18.5,38.287,39.186,25.75,1.0,0.513
normal-weibull,0.18,10,1000,433,0,28.594,16.181,25.0,40.609,34.456,28.0,1.0,0.433
normal-weibull,0.18,20,999,345,1,37.742,19.565,32.0,44.059,31.761,32.0,0.999,0.345
normal-weibull,0.18,50,878,326,122,57.98,26.931,52.0,53.013,30.523,44.0,0.878,0.326
normal-weibull,0.27,5,1000,560,0,21.159,13.05,18.0,38.098,41.046,25.0,1.0,0.56
normal-weibull,0.27,10,1000,472,0,27.303,16.318,24.0,39.77,35.449,26.0,1.0,0.472
normal-weibull,0.27,20,999,390,1,37.132,20.513,32.0,43.06,32.535,30.25,0.999,0.39
normal-weibull,0.27,50,876,364,124,55.441,26.997,50.0,51.523,32.047,41.0,0.876,0.364
uniform,0.04,5,0,10,0,24.55,12.87,22.5,,,,0.0,0.01
uniform,0.04,10,0,7,0,24.286,15.724,17.0,,,,0.0,0.007
uniform,0.04,20,0,4,0,128.5,106.566,129.5,,,,0.0,0.004
uniform,0.04,50,0,2,0,58.5,48.79,58.5,,,,0.0,0.002
uniform,0.07,5,0,19,0,23.316,13.148,18.0,,,,0.0,0.019
uniform,0.07,10,0,14,0,50.464,56.712,19.0,,,,0.0,0.014
uniform,0.07,20,0,7,0,124.286,95.113,74.0,,,,0.0,0.007
uniform,0.07,50,0,6,0,106.5,68.707,99.0,,,,0.0,0.006
uniform,0.18,5,0,49,0,34.837,56.173,14.5,,,,0.0,0.049
uniform,0.18,10,0,46,0,44.022,38.701,37.5,,,,0.0,0.046
uniform,0.18,20,0,33,0,79.379,59.369,56.0,,,,0.0,0.033
uniform,0.18,50,0,16,0,85.062,49.919,79.0,,,,0.0,0.016
uniform,0.27,5,0,76,0,33.399,46.233,15.0,,,,0.0,0.076
uniform,0.27,10,0,77,0,44.26,38.511,36.0,,,,0.0,0.077
uniform,0.27,20,0,56,0,65.348,47.8,47.0,,,,0.0,0.056
uniform,0.27,50,0,36,0,98.222,73.962,68.5,,,,0.0,0.036
uniform-beta,0.04,5,719,12,281,46.669,14.906,45.0,43.836,15.284,42.0,0.719,0.012
uniform-beta,0.04,10,759,14,241,51.994,14.531,51.0,48.166,14.539,47.0,0.759,0.014
uniform-beta,0.04,20,800,20,200,62.645,16.932,61.0,57.627,16.52,56.0,0.8,0.02
uniform-beta,0.04,50,865,55,135,90.898,24.622,88.0,83.513,23.582,81.0,0.865,0.055
uniform-beta,0.07,5,719,18,281,43.765,14.326,41.0,41.359,15.968,39.0,0.719,0.018
uniform-beta,0.07,10,759,18,241,48.912,13.775,48.0,44.854,14.852,43.0,0.759,0.018
uniform-beta,0.07,20,801,23,199,59.133,17.078,57.0,53.889,16.421,52.0,0.801,0.023
uniform-beta,0.07,50,858,63,142,85.585,24.202,83.0,77.702,22.848,75.0,0.858,0.063
uniform-beta,0.18,5,717,42,283,38.811,13.658,37.0,36.547,21.168,34.0,0.717,0.042
uniform-beta,0.18,10,757,41,243,43.563,14.088,42.0,39.094,18.321,38.0,0.757,0.041
uniform-beta,0.18,20,791,52,209,52.718,17.239,50.0,46.861,19.55,45.0,0.791,0.052
uniform-beta,0.18,50,839,88,161,75.686,23.817,72.0,66.337,21.721,64.0,0.839,0.088
uniform-beta,0.27,5,711,68,289,36.512,14.807,34.0,32.899,24.487,31.0,0.711,0.068
uniform-beta,0.27,10,750,65,250,41.15,15.48,39.0,35.494,23.138,35.0,0.75,0.065
uniform-beta,0.27,20,786,76,214,49.986,17.714,47.0,42.823,20.866,41.0,0.786,0.076
uniform-beta,0.27,50,834,106,166,71.232,25.241,67.0,60.989,21.998,58.0,0.834,0.106
uniform-exponential,0.04,5,994,297,6,26.261,11.013,25.0,40.017,32.044,28.0,0.994,0.297
uniform-exponential,0.04,10,985,154,15,31.945,12.968,30.0,34.836,24.238,28.0,0.985,0.154
uniform-exponential,0.04,20,969,83,31,39.302,15.822,36.0,34.605,16.932,31.0,0.969,0.083
uniform-exponential,0.04,50,892,127,108,55.766,24.022,50.0,44.945,18.353,42.0,0.892,0.127
uniform-exponential,0.07,5,994,325,6,24.831,10.899,23.0,39.351,33.311,27.0,0.994,0.325
uniform-exponential,0.07,10,986,170,14,30.431,13.115,29.0,33.56,25.242,27.0,0.986,0.17
uniform-exponential,0.07,20,969,92,31,37.858,16.683,34.0,32.502,17.335,29.0,0.969,0.092
uniform-exponential,0.07,50,891,138,109,53.286,24.218,47.0,42.0,17.872,39.0,0.891,0.138
uniform-exponential,0.18,5,993,395,7,22.61,11.835,20.333,38.182,35.505,25.0,0.993,0.395
uniform-exponential,0.18,10,989,225,11,28.325,15.204,26.0,32.749,28.623,24.0,0.989,0.225
uniform-exponential,0.18,20,968,128,32,34.844,17.133,31.0,29.162,18.301,26.0,0.968,0.128
uniform-exponential,0.18,50,880,168,120,49.05,25.46,42.0,36.469,18.109,33.0,0.88,0.168
uniform-exponential,0.27,5,993,438,7,21.743,12.601,19.0,38.356,37.784,24.25,0.993,0.438
uniform-exponential,0.27,10,989,257,11,26.917,15.047,24.0,32.21,30.298,23.0,0.989,0.257
uniform-exponential,0.27,20,968,151,32,33.319,17.504,29.0,27.632,20.036,23.0,0.968,0.151
uniform-exponential,0.27,50,875,187,125,46.654,25.694,39.0,33.437,18.314,30.0,0.875,0.187
uniform-normal,0.04,5,1000,67,0,1.264,1.721,1.0,1.347,11.863,-1.0,1.0,0.067
uniform-normal,0.04,10,1000,38,0,1.296,1.757,1.0,0.5,10.076,-1.0,1.0,0.038
uniform-normal,0.04,20,1000,12,0,1.354,1.606,1.0,-0.197,6.212,-1.0,1.0,0.012
uniform-normal,0.04,50,1000,2,0,1.388,1.178,1.0,-0.65,2.8,-1.0,1.0,0.002
uniform-normal,0.07,5,1000,78,0,1.395,2.486,1.0,1.672,14.1,-1.0,1.0,0.078
uniform-normal,0.07,10,1000,44,0,1.352,2.015,1.0,0.693,11.548,-1.0,1.0,0.044
uniform-normal,0.07,20,1000,16,0,1.408,1.895,1.0,-0.066,8.123,-1.0,1.0,0.016
uniform-normal,0.07,50,1000,2,0,1.39,1.192,1.0,-0.659,2.782,-1.0,1.0,0.002
uniform-normal,0.18,5,1000,116,0,1.845,4.119,1.0,2.99,19.892,-1.0,1.0,0.116
uniform-normal,0.18,10,1000,73,0,1.977,5.214,1.0,1.721,16.608,-1.0,1.0,0.073
uniform-normal,0.18,20,1000,41,0,2.062,5.52,1.0,1.53,15.663,-1.0,1.0,0.041
uniform-normal,0.18,50,999,5,1,1.45,1.647,1.0,-0.491,5.093,-1.0,0.999,0.005
uniform-normal,0.27,5,1000,152,0,2.44,6.066,1.0,4.717,25.012,-1.0,1.0,0.152
uniform-normal,0.27,10,1000,103,0,2.623,7.22,1.0,3.991,22.243,-1.0,1.0,0.103
uniform-normal,0.27,20,1000,75,0,3.013,7.977,1.0,3.634,21.92,-1.0,1.0,0.075
uniform-normal,0.27,50,999,18,1,1.894,4.919,1.0,0.322,10.548,-1.0,0.999,0.018
uniform-uniform,0.04,5,1000,7,0,2.899,2.79,2.0,0.444,5.402,0.0,1.0,0.007
uniform-uniform,0.04,10,1000,4,0,3.203,3.099,2.0,0.92,5.504,0.0,1.0,0.004
uniform-uniform,0.04,20,1000,1,0,3.398,3.489,2.0,0.754,2.802,0.0,1.0,0.001
uniform-uniform,0.04,50,996,5,4,4.298,5.061,2.0,0.894,3.319,0.0,0.996,0.005
uniform-uniform,0.07,5,1000,11,0,2.826,2.682,2.0,0.624,8.053,0.0,1.0,0.011
uniform-uniform,0.07,10,1000,8,0,3.166,3.07,2.0,0.758,6.895,0.0,1.0,0.008
uniform-uniform,0.07,20,1000,3,0,3.375,3.629,2.0,0.709,4.135,0.0,1.0,0.003
uniform-uniform,0.07,50,995,6,5,4.301,5.123,2.0,0.778,3.118,0.0,0.995,0.006
uniform-uniform,0.18,5,1000,41,0,3.108,4.893,2.0,1.136,16.709,-1.0,1.0,0.041
uniform-uniform,0.18,10,1000,23,0,3.224,3.54,2.0,0.809,11.408,0.0,1.0,0.023
uniform-uniform,0.18,20,1000,12,0,3.436,4.208,2.0,0.862,8.448,0.0,1.0,0.012
uniform-uniform,0.18,50,992,10,8,4.344,5.48,2.0,0.554,2.742,0.0,0.992,0.01
uniform-uniform,0.27,5,1000,65,0,3.14,4.378,2.0,2.368,21.392,-1.0,1.0,0.065
uniform-uniform,0.27,10,1000,36,0,3.343,4.103,2.0,1.152,14.618,-1.0,1.0,0.036
uniform-uniform,0.27,20,1000,25,0,3.814,6.114,2.0,1.004,11.915,-1.0,1.0,0.025
uniform-uniform,0.27,50,989,16,11,4.582,6.636,2.0,0.524,4.599,0.0,0.989,0.016
uniform-weibull,0.04,5,992,302,8,26.426,11.581,25.0,40.418,31.226,29.0,0.992,0.302
uniform-weibull,0.04,10,992,150,8,32.3,13.719,30.0,35.952,24.643,29.0,0.992,0.15
uniform-weibull,0.04,20,964,91,36,39.616,17.085,36.0,35.407,18.854,31.0,0.964,0.091
uniform-weibull,0.04,50,916,97,84,55.45,22.023,51.0,46.066,18.856,42.0,0.916,0.097
uniform-weibull,0.07,5,990,322,10,25.16,12.009,23.0,39.169,31.588,27.25,0.99,0.322
uniform-weibull,0.07,10,990,164,10,30.665,13.187,28.0,34.523,24.619,27.0,0.99,0.164
uniform-weibull,0.07,20,962,99,38,37.818,16.921,34.0,33.292,18.357,29.0,0.962,0.099
uniform-weibull,0.07,50,910,106,90,52.762,21.997,48.0,42.89,18.333,39.0,0.91,0.106
uniform-weibull,0.18,5,995,391,5,22.748,13.062,20.5,38.382,33.903,25.0,0.995,0.391
uniform-weibull,0.18,10,990,214,10,28.437,14.782,25.0,32.338,26.3,24.0,0.99,0.214
uniform-weibull,0.18,20,964,125,36,34.445,16.627,30.0,30.305,19.947,25.0,0.964,0.125
uniform-weibull,0.18,50,902,133,98,48.466,23.469,43.0,37.626,18.474,34.0,0.902,0.133
uniform-weibull,0.27,5,995,428,5,21.604,13.558,19.0,36.889,34.761,24.0,0.995,0.428
uniform-weibull,0.27,10,994,246,6,27.244,15.378,24.0,32.077,28.034,23.0,0.994,0.246
uniform-weibull,0.27,20,964,149,36,32.774,17.01,28.0,29.02,22.166,23.5,0.964,0.149
uniform-weibull,0.27,50,894,158,106,46.663,24.232,40.0,34.459,18.164,31.0,0.894,0.158
weibull,0.04,5,0,316,0,20.603,27.221,12.0,,,,0.0,0.316
weibull,0.04,10,0,161,0,27.566,33.226,18.0,,,,0.0,0.161
weibull,0.04,20,0,38,0,37.737,32.108,30.5,,,,0.0,0.038
weibull,0.04,50,0,4,0,51.5,17.786,48.0,,,,0.0,0.004
weibull,0.07,5,0,333,0,18.974,24.453,11.0,,,,0.0,0.333
weibull,0.07,10,0,173,0,25.316,31.251,18.0,,,,0.0,0.173
weibull,0.07,20,0,46,0,37.859,35.341,27.5,,,,0.0,0.046
weibull,0.07,50,0,6,0,83.667,70.639,50.0,,,,0.0,0.006
weibull,0.18,5,0,383,0,20.33,31.838,10.667,,,,0.0,0.383
weibull,0.18,10,0,219,0,33.196,46.731,17.0,,,,0.0,0.219
weibull,0.18,20,0,91,0,63.368,63.088,40.0,,,,0.0,0.091
weibull,0.18,50,0,27,0,112.741,98.076,84.0,,,,0.0,0.027
weibull,0.27,5,0,416,0,21.237,31.973,11.0,,,,0.0,0.416
weibull,0.27,10,0,269,0,35.881,43.201,19.0,,,,0.0,0.269
weibull,0.27,20,0,129,0,66.236,70.031,41.0,,,,0.0,0.129
weibull,0.27,50,0,60,0,107.117,84.567,84.0,,,,0.0,0.06
weibull-beta,0.04,5,998,289,2,27.714,15.755,24.0,5.209,36.289,17.0,0.998,0.289
weibull-beta,0.04,10,995,167,5,32.802,15.912,29.0,19.681,27.078,23.0,0.995,0.167
weibull-beta,0.04,20,973,108,27,42.839,20.028,38.0,33.23,18.544,31.0,0.973,0.108
weibull-beta,0.04,50,860,176,140,64.726,26.439,59.0,51.664,21.085,48.0,0.86,0.176
weibull-beta,0.07,5,999,307,1,26.713,15.188,23.0,2.607,37.508,15.25,0.999,0.307
weibull-beta,0.07,10,996,189,4,32.013,16.746,28.0,17.654,28.298,21.0,0.996,0.189
weibull-beta,0.07,20,967,127,33,41.191,19.128,37.0,31.064,17.896,29.0,0.967,0.127
weibull-beta,0.07,50,855,190,145,62.453,27.08,56.0,48.72,21.127,44.75,0.855,0.19
weibull-beta,0.18,5,999,359,1,25.045,14.936,21.0,-1.599,40.927,13.0,0.999,0.359
weibull-beta,0.18,10,997,245,3,29.765,16.113,25.167,12.728,31.909,18.0,0.997,0.245
weibull-beta,0.18,20,968,173,32,39.05,20.311,34.0,26.973,19.665,25.0,0.968,0.173
weibull-beta,0.18,50,839,232,161,58.28,27.651,52.0,42.588,20.36,38.0,0.839,0.232
weibull-beta,0.27,5,999,400,1,24.523,15.604,20.0,-5.819,44.236,12.0,0.999,0.4
weibull-beta,0.27,10,998,278,2,29.011,17.391,24.0,10.038,34.454,16.0,0.998,0.278
weibull-beta,0.27,20,969,205,31,38.083,21.288,32.0,24.654,21.487,22.0,0.969,0.205
weibull-beta,0.27,50,830,257,170,56.178,27.805,49.0,39.12,19.913,35.0,0.83,0.257
weibull-exponential,0.04,5,1000,482,0,21.135,12.819,18.0,10.639,42.352,13.0,1.0,0.482
weibull-exponential,0.04,10,1000,241,0,24.878,11.439,22.0,16.353,28.414,17.0,1.0,0.241
weibull-exponential,0.04,20,997,101,3,32.966,14.993,29.0,24.842,16.127,23.0,0.997,0.101
weibull-exponential,0.04,50,902,131,98,49.821,19.083,46.0,38.168,14.341,35.25,0.902,0.131
weibull-exponential,0.07,5,1000,509,0,20.159,12.064,17.0,9.026,43.826,12.0,1.0,0.509
weibull-exponential,0.07,10,1000,262,0,23.954,11.348,21.0,14.3,29.648,16.0,1.0,0.262
weibull-exponential,0.07,20,998,115,2,32.172,15.485,28.0,23.843,17.003,22.0,0.998,0.115
weibull-exponential,0.07,50,896,149,104,48.618,19.917,44.0,36.132,14.356,33.0,0.896,0.149
weibull-exponential,0.18,5,1000,568,0,19.42,12.842,16.0,4.435,48.615,11.0,1.0,0.568
weibull-exponential,0.18,10,1000,321,0,23.269,12.529,20.0,10.89,33.34,14.0,1.0,0.321
weibull-exponential,0.18,20,998,148,2,30.357,15.703,26.0,21.248,18.208,19.0,0.998,0.148
weibull-exponential,0.18,50,887,186,113,46.095,20.947,41.0,31.869,14.616,29.0,0.887,0.186
weibull-exponential,0.27,5,1000,602,0,18.654,11.981,15.0,1.683,50.033,10.0,1.0,0.602
weibull-exponential,0.27,10,1000,356,0,22.77,13.132,19.0,8.768,36.147,12.0,1.0,0.356
weibull-exponential,0.27,20,998,189,2,30.305,17.526,25.0,19.65,20.462,17.5,0.998,0.189
weibull-exponential,0.27,50,881,208,119,44.6,21.48,39.0,29.476,15.398,26.0,0.881,0.208
weibull-normal,0.04,5,998,337,2,7.015,7.578,5.0,-9.307,36.476,2.0,0.998,0.337
weibull-normal,0.04,10,995,220,5,7.326,7.57,6.0,0.308,25.388,4.0,0.995,0.22
weibull-normal,0.04,20,985,146,15,8.524,8.107,8.0,6.601,15.342,5.0,0.985,0.146
weibull-normal,0.04,50,953,95,47,11.605,9.84,11.0,9.772,10.713,8.0,0.953,0.095
weibull-normal,0.07,5,999,360,1,7.33,8.249,5.0,-11.481,38.869,2.0,0.999,0.36
weibull-normal,0.07,10,995,239,5,7.708,8.826,6.0,-0.383,27.718,3.0,0.995,0.239
weibull-normal,0.07,20,984,165,16,8.918,10.02,7.5,6.414,17.161,5.0,0.984,0.165
weibull-normal,0.07,50,948,105,52,11.592,10.405,11.0,9.388,11.06,7.0,0.948,0.105
weibull-normal,0.18,5,1000,405,0,7.303,8.09,5.0,-14.895,42.438,2.0,1.0,0.405
weibull-normal,0.18,10,998,293,2,8.277,10.82,6.0,-1.39,32.528,3.0,0.998,0.293
weibull-normal,0.18,20,984,213,16,9.751,12.406,7.0,6.462,20.637,4.0,0.984,0.213
weibull-normal,0.18,50,944,135,56,12.206,12.491,10.0,8.543,11.486,6.0,0.944,0.135
weibull-normal,0.27,5,999,458,1,7.948,9.502,5.0,-15.666,45.939,1.0,0.999,0.458
weibull-normal,0.27,10,999,338,1,8.965,12.506,6.0,-1.328,35.379,2.0,0.999,0.338
weibull-normal,0.27,20,984,240,16,10.068,13.343,7.0,6.773,23.075,3.5,0.984,0.24
weibull-normal,0.27,50,934,163,66,12.869,13.923,10.0,8.645,13.165,5.0,0.934,0.163
weibull-uniform,0.04,5,178,250,822,42.39,56.454,26.0,-44.879,106.221,-42.5,0.178,0.25
weibull-uniform,0.04,10,116,114,884,79.69,87.435,35.0,17.637,119.812,21.0,0.116,0.114
weibull-uniform,0.04,20,56,44,944,135.845,103.813,148.0,85.686,116.695,86.0,0.056,0.044
weibull-uniform,0.04,50,21,16,979,234.973,60.752,243.0,197.73,39.392,203.0,0.021,0.016
weibull-uniform,0.07,5,183,284,817,51.479,67.354,26.0,-40.125,117.642,-42.75,0.183,0.284
weibull-uniform,0.07,10,132,147,868,101.378,99.668,43.0,34.096,131.097,25.0,0.132,0.147
weibull-uniform,0.07,20,82,62,918,145.932,94.732,166.0,98.371,113.389,131.0,0.082,0.062
weibull-uniform,0.07,50,33,25,967,209.552,52.427,216.0,174.931,43.964,179.0,0.033,0.025
weibull-uniform,0.18,5,196,372,804,67.679,83.523,28.0,-31.436,135.129,-46.0,0.196,0.372
weibull-uniform,0.18,10,187,220,813,117.591,96.947,110.25,51.934,129.847,74.5,0.187,0.22
weibull-uniform,0.18,20,149,131,851,163.956,88.81,166.0,114.948,102.738,142.0,0.149,0.131
weibull-uniform,0.18,50,105,70,895,198.371,58.477,197.0,164.806,53.012,171.0,0.105,0.07
weibull-uniform,0.27,5,234,417,766,73.279,85.738,31.0,-23.764,136.243,-36.75,0.234,0.417
weibull-uniform,0.27,10,212,283,788,115.503,92.769,109.5,45.567,128.517,74.0,0.212,0.283
weibull-uniform,0.27,20,200,194,800,161.992,83.918,165.0,111.403,95.902,130.5,0.2,0.194
weibull-uniform,0.27,50,159,118,841,187.538,60.706,182.0,153.321,55.579,155.0,0.159,0.118
weibull-weibull,0.04,5,1000,428,0,20.075,13.114,17.0,11.404,42.143,13.0,1.0,0.428
weibull-weibull,0.04,10,1000,197,0,23.837,11.308,21.0,16.432,26.928,16.0,1.0,0.197
weibull-weibull,0.04,20,995,110,5,32.453,14.703,29.0,24.674,16.48,23.0,0.995,0.11
weibull-weibull,0.04,50,911,146,89,49.34,20.063,45.0,38.094,14.823,35.0,0.911,0.146
weibull-weibull,0.07,5,1000,457,0,19.205,11.641,16.417,10.165,43.798,12.0,1.0,0.457
weibull-weibull,0.07,10,1000,218,0,23.141,11.126,20.0,14.527,28.419,15.0,1.0,0.218
weibull-weibull,0.07,20,995,120,5,31.39,14.526,28.0,23.217,16.242,21.0,0.995,0.12
weibull-weibull,0.07,50,905,160,95,47.788,20.213,43.0,35.834,14.46,33.0,0.905,0.16
weibull-weibull,0.18,5,1000,550,0,18.041,12.195,15.0,6.603,49.364,10.5,1.0,0.55
weibull-weibull,0.18,10,1000,270,0,22.057,12.385,19.0,12.218,31.456,13.5,1.0,0.27
weibull-weibull,0.18,20,995,166,5,30.234,16.686,26.0,20.672,19.825,18.5,0.995,0.166
weibull-weibull,0.18,50,894,193,106,44.886,21.02,39.0,31.474,14.349,29.0,0.894,0.193
weibull-weibull,0.27,5,1000,582,0,17.95,12.738,14.5,2.945,50.063,9.0,1.0,0.582
weibull-weibull,0.27,10,1000,315,0,21.895,13.408,18.0,9.908,34.591,12.0,1.0,0.315
weibull-weibull,0.27,20,993,191,7,29.68,17.551,25.0,18.75,20.41,17.0,0.993,0.191
weibull-weibull,0.27,50,884,224,116,43.908,21.798,38.0,29.196,14.549,26.0,0.884,0.224
