configuration,threshold,learning_sample_size,TP,FP,FN,delay_mean,delay_std,delay_median,labeled_delay_mean,labeled_delay_std,labeled_delay_median,power,significance
beta-normal,0.18,20,1000,71,0,2.463,4.067,2.0,2.129,14.74,-1.0,1.0,0.071
beta-normal,0.18,50,993,38,7,3.808,4.849,3.0,1.401,9.852,0.0,0.993,0.038
beta-normal,0.27,5,1000,171,0,2.309,4.281,1.0,4.544,25.421,-1.0,1.0,0.171
beta-normal,0.27,10,1000,136,0,2.923,6.431,1.0,5.294,23.067,-1.0,1.0,0.136
beta-normal,0.27,20,1000,97,0,3.238,7.167,2.0,3.774,20.155,-1.0,1.0,0.097
beta-normal,0.27,50,988,51,12,4.264,6.158,3.0,1.811,11.867,0.0,0.988,0.051
beta-uniform,0.04,5,1000,11,0,4.571,3.759,4.0,2.217,7.939,2.0,1.0,0.011
beta-uniform,0.04,10,1000,8,0,5.609,4.421,6.0,3.005,7.936,3.0,1.0,0.008
beta-uniform,0.04,20,998,4,2,7.335,4.815,8.0,4.124,3.471,5.0,0.998,0.004
beta-uniform,0.04,50,981,21,19,12.134,8.175,12.0,7.244,4.931,8.0,0.981,0.021
beta-uniform,0.07,5,1000,20,0,4.513,4.099,4.0,2.108,11.174,2.0,1.0,0.02
beta-uniform,0.07,10,1000,11,0,5.474,5.632,5.0,2.891,8.7,3.0,1.0,0.011
beta-uniform,0.07,20,999,8,1,7.373,6.681,7.0,4.024,6.147,4.0,0.999,0.008
beta-uniform,0.07,50,979,25,21,11.928,8.654,11.0,6.711,4.736,8.0,0.979,0.025
beta-uniform,0.18,5,1000,37,0,4.43,4.545,4.0,2.085,14.101,2.0,1.0,0.037
beta-uniform,0.18,10,1000,29,0,5.348,5.545,5.0,3.245,12.735,2.0,1.0,0.029
beta-uniform,0.18,20,1000,22,0,7.254,7.285,7.0,3.865,9.003,4.0,1.0,0.022
beta-uniform,0.18,50,968,41,32,11.854,10.571,10.0,5.835,6.542,6.0,0.968,0.041
beta-uniform,0.27,5,1000,67,0,4.609,5.285,4.0,3.206,18.653,1.0,1.0,0.067
beta-uniform,0.27,10,1000,47,0,5.638,7.287,5.0,3.361,15.441,2.0,1.0,0.047
beta-uniform,0.27,20,1000,36,0,7.216,7.493,6.0,3.746,11.84,3.0,1.0,0.036
beta-uniform,0.27,50,962,59,38,12.006,11.025,10.0,5.634,8.776,5.0,0.962,0.059
beta-weibull,0.04,5,984,250,16,31.759,12.798,30.0,42.443,29.523,32.0,0.984,0.25
beta-weibull,0.04,10,979,127,21,38.946,13.865,37.0,40.157,21.807,35.0,0.979,0.127
beta-weibull,0.04,20,955,82,45,50.333,17.163,48.0,44.979,17.041,42.0,0.955,0.082
beta-weibull,0.04,50,908,102,92,75.046,23.243,71.0,65.4,19.691,63.0,0.908,0.102
beta-weibull,0.07,5,983,267,17,29.836,12.578,28.0,40.896,29.677,31.0,0.983,0.267
beta-weibull,0.07,10,976,135,24,36.681,13.276,35.0,38.017,21.916,33.0,0.976,0.135
beta-weibull,0.07,20,953,93,47,47.859,17.354,45.0,42.182,16.709,39.0,0.953,0.093
beta-weibull,0.07,50,904,112,96,71.06,23.424,67.0,61.02,19.65,58.0,0.904,0.112
beta-weibull,0.18,5,983,338,17,26.785,13.82,25.0,39.812,33.703,27.0,0.983,0.338
beta-weibull,0.18,10,978,174,22,33.617,15.127,31.0,35.248,24.291,29.0,0.978,0.174
beta-weibull,0.18,20,951,121,49,43.187,18.253,39.0,37.49,18.208,33.0,0.951,0.121
beta-weibull,0.18,50,893,135,107,63.506,23.842,58.0,52.179,18.744,49.0,0.893,0.135
beta-weibull,0.27,5,988,371,12,25.776,14.625,23.0,38.122,35.456,26.0,0.988,0.371
beta-weibull,0.27,10,984,203,16,31.937,16.58,29.0,35.028,27.056,27.0,0.984,0.203
beta-weibull,0.27,20,952,137,48,40.682,18.168,36.5,35.124,19.621,31.0,0.952,0.137
beta-weibull,0.27,50,886,152,114,59.714,24.316,54.0,47.745,18.758,44.0,0.886,0.152
exponential,0.04,5,0,312,0,19.931,34.52,12.0,,,,0.0,0.312
exponential,0.04,10,0,146,0,28.479,30.061,22.5,,,,0.0,0.146
exponential,0.04,20,0,28,0,52.196,68.427,22.25,,,,0.0,0.028
exponential,0.04,50,0,0,0,,,,,,,0.0,0.0
exponential,0.07,5,0,326,0,18.537,32.416,11.5,,,,0.0,0.326
